name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Shimmer,Shimmer,JFDR,5GCBU0qNaeKvZBhoGDgxXR,2020-01-29,0,201384,0.532,0.765,0.214,0.0782,0.0914,0.402,-15.628,0.0324,136.137,2,4,Calm
Green,Green (An Original Song from the Motion Picture “Sound of Metal”),Abraham Marder,5Qbbt2pFCtK1TURRKyc44t,2021-02-12,43,267251,0.35,0.944,0.0229,0.000761,0.111,0.0803,-19.263,0.0427,131.177,1,4,Calm
Nothing’s Gonna Happen,Good Woman,The Staves,4WM5HfHQZ0N4o8HDNwRmRk,2021-02-05,56,216746,0.36,0.77,0.209,5.1E-05,0.129,0.213,-12.289,0.0322,75.349,2,4,Calm
Surrender,Surrender,Birdy,65cQkOFngSgj37Gnzp4ry4,2021-01-22,62,234240,0.353,0.661,0.386,0.000231,0.0806,0.269,-10.927,0.045,147.808,0,4,Calm
Symmetry - Dark Version,Symmetry (Dark Version),SYML,6xgMqv60ltHfEn3o8cbkET,2020-02-28,0,233200,0.444,0.977,0.036,0.00458,0.109,0.157,-18.933,0.0433,72.702,2,4,Calm
Break My Heart - Piano Acoustic,Break My Heart (Piano Acoustic),JC Stewart,7e5HVLu9xSydLebKSqBebM,2021-02-12,58,218293,0.448,0.943,0.247,3.61E-05,0.109,0.276,-10.454,0.0466,134.5,6,4,Calm
Exhale - Edit,Exhale,Jónsi,1kuZYUny8zNJ2whFQIMWEb,2020-04-23,22,242800,0.27,0.495,0.358,0.198,0.151,0.113,-11.168,0.0308,95.936,5,4,Calm
Say You'll Be There - Acoustic,Say You'll Be There (Acoustic),Shaefri,4THGYAdqSKMmyugQDjz659,2020-10-07,19,202779,0.442,0.93,0.394,0.00189,0.106,0.283,-8.138,0.0322,124.634,5,3,Calm
Feels Like This,Dressed Too Nice For A Jacket,Maisie Peters,53Wsf11ElpPr1WAGtRQlcx,2018-11-02,56,223346,0.384,0.958,0.165,0,0.101,0.333,-9.601,0.0446,68.469,2,4,Calm
Berlin,Dawn,RY X,7BSMSvK0WxrDeI98bswYa8,2016-05-06,59,174172,0.393,0.963,0.0668,0.105,0.107,0.0384,-20.755,0.0404,136.938,7,4,Calm
13th of January,Sleep Talk,Patricia Lalor,1qolVx4UYCFfccC10wFG0x,2020-04-10,16,180800,0.574,0.905,0.247,0.0323,0.113,0.212,-15.25,0.0282,115.102,2,4,Calm
Counting Flowers,Counting Flowers,EVER,7f6tmZhAL2D9CTLfSyWDHC,2020-09-18,16,188759,0.316,0.615,0.409,5.14E-05,0.306,0.282,-5.959,0.0414,81.813,10,4,Calm
Where's My Love,The Bird,SYML,2dssj4b2CNkmrMfZRbEXIM,2019-02-14,0,202106,0.598,0.853,0.343,0.0219,0.123,0.419,-11.04,0.025,103.984,0,4,Calm
Distant Land,Distant Land,Garrett Kato,4LkT6t2o3URthSNIoUQ7xc,2019-06-14,41,201000,0.54,0.638,0.456,0.0345,0.102,0.409,-11.905,0.0303,82.05,1,4,Calm
Whirlwind,Whirlwind,Sam Ryder,4FdlrVG63Nsx9I7dBtsh6J,2021-02-23,65,208088,0.427,0.739,0.6,4.53E-06,0.172,0.254,-5.512,0.0385,80.603,3,4,Calm
Head And Heart On Fire,Head And Heart On Fire,LÉON,4rqe64hyIfoMfiBcvVZqfT,2020-09-18,3,155303,0.569,0.699,0.311,0,0.0938,0.244,-8.267,0.0276,125.913,10,4,Calm
Loneliness,Loneliness,Birdy,3fZpuY6pfjBeMsrnKMtbXQ,2021-02-12,58,202400,0.595,0.536,0.56,0,0.156,0.483,-7.988,0.0327,131.833,1,4,Calm
Nazareth,Nazareth,The Staves,03JgKNVxicoLINfg3q8qBv,2020-08-07,43,250162,0.494,0.982,0.106,4.93E-05,0.0777,0.211,-16.851,0.0316,105.877,3,4,Calm
Promise,Every Kingdom,Ben Howard,4qyfir5Yr7nfo05g6cyFMT,2011-01-01,65,384080,0.367,0.889,0.189,0.428,0.364,0.177,-15.736,0.0384,156.643,2,4,Calm
Mystery of Love,Call Me By Your Name (Original Motion Picture Soundtrack),Various Artists,4HbeGjbt7u3pvwDk1vN7P0,2017-11-03,69,248964,0.365,0.94,0.273,0.431,0.109,0.238,-16.526,0.038,132.285,4,5,Calm
cul de sac,cul de sac,trayer tryon,17EwIxh2j0710mB2lGO10p,2020-09-01,31,354843,0.149,0.946,0.411,0.922,0.3,0.192,-14.344,0.0371,104.926,0,4,Calm
loyal,Loyal,Jasmine Thompson,3xYCHCokOiH0OjtkCZaEAq,2019-02-15,28,226570,0.452,0.41,0.401,9.84E-06,0.127,0.106,-6.67,0.0594,67.482,8,3,Calm
You Say - Piano/Vocal,You Say (Piano/Vocal),Lauren Daigle,7i7lbzxW5XIUH04tOVNc0D,2019-01-25,51,276137,0.555,0.885,0.344,0,0.109,0.238,-7.04,0.0268,147.893,5,4,Calm
Waiting,EP II (+ Skisser EP),Alice Boman,0WnR9teHmp1tkQF33DztIS,2014-05-26,0,184320,0.317,0.975,0.328,0.123,0.116,0.088,-10.084,0.0303,85.264,8,4,Calm
