name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Sad
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,1982-10-27,68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4,Happy
13th of January,Sleep Talk,Patricia Lalor,1qolVx4UYCFfccC10wFG0x,2020-04-10,16,180800,0.574,0.905,0.247,0.0323,0.113,0.212,-15.25,0.0282,115.102,2,4,Calm
2 The Brain,2 The Brain,ACRAZE,1sR0NZ42EGY6bW2lidiC45,2021-01-14,44,205844,0.517,0.305,0.725,0.242,0.087,0.161,-3.038,0.0428,140.229,1,3,Energetic
2U (feat. Justin Bieber) - Seeb Remix,2U (feat. Justin Bieber) [Seeb Remix],David Guetta,7N118VYdB5NbtnDhsmmndA,2017-09-08,42,214812,0.639,0.141,0.735,0,0.17,0.578,-4.948,0.0937,139.984,8,4,Energetic
365 - Zedd Remix,365 (Remixes),Zedd,0ywzvARVqoxQOJpaswRe9E,2019-03-22,50,236286,0.784,0.00476,0.595,0.00727,0.059,0.183,-6.816,0.0413,124.019,2,4,Energetic
59th Street Bridge Song (Feelin' Groovy),Feelin' Groovy: The Best Of Harpers Bizarre Featuring The 59th Street Bridge Song,Harpers Bizarre,6umkEvSI6QJMBfGWjFo2iU,1997,26,151146,0.536,0.681,0.372,0,0.3,0.521,-8.261,0.0419,132.323,1,4,Happy
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,2006-11-06,60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,Sad
9 Crimes,9,Damien Rice,08YEGpKt2LHJ0URCXKHEie,2006-11-07,57,219226,0.329,0.913,0.167,9.56E-05,0.0921,0.0995,-13.103,0.0296,74.174,0,4,Calm
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,1984-08-21,2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,2004-01-01,60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4,Energetic
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,2020-07-31,27,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,5,Calm
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,2020-08-07,29,141888,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,4,Calm
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,2009-12-28,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,Happy
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,2000-10-24,68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4,Energetic
